"Site Name","alachua","arboricola","arubae","barbosai","baueri","beckae","bermudensis","bickleyi","biguttatus","blantoni","butleri","chiopterus","copiosus","crepuscularis","debilipalpis","edeni","floridensis","furens","guttipennis","haematopotus","hinmani","hollensis","insignis","jamaicensis","jonesi","juddi","kirbyi","knowltoni","loisae","loughnani","mississippiensis","mulrennani","nanus","neopulicaris","oklahomensis","ousairani","pallidicornis","paraensis","pechumani","piliferus","pusillus","ryckmani","sanguisuga","sonorensis","spinosus","stellifer","stonei","torreryae","travisi","variipennis","venustus","villosipennis","lon","lat","year.mean.temp","mean.diurnal.range","isotherm","temp.seasonality","max.temp.warm.month","min.temp.cold.month","temp.annual.range","mean.temp.wet.quarter","mean.temp.dry.quarter","mean.temp.warm.quarter","mean.temp.cold.quarter","annual.precip","precip.wettest.month","precip.driest.month","precip.seasonality","precip.wettest.quarter","precip.driest.quarter","precip.warmest.quarter","precip.coldest.quarter","scores","sqrt.scores","heat"
"Tiger Bay State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.1698412012678,29.159061180191,212,112,45,4824,325,79,246,269,159,269,147,1295,174,62,41,507,194,497,214,-0.612974371076238,NA,0
"Six-Mile Cypress Slough Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.7902535884885,26.6074595382758,229,118,53,3670,330,110,220,271,178,272,178,1306,206,42,55,572,148,537,148,-1.82285557345311,NA,1
"Medusa Grove",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.2097182210115,26.747785989813,227,125,53,3933,333,100,233,272,184,273,173,1243,218,40,59,579,138,516,144,-1.08887553656175,NA,2
"Aucilla Wildlife Management Area (Sneads Lake)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-83.7151091493987,30.5941285072249,195,134,46,5948,331,41,290,268,157,268,115,1374,171,63,26,464,240,464,337,0.216688970468561,0.465498625635523,0
"Lake Talquin State Forest (Tract 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-84.5174190404579,30.4677057244491,195,130,45,5991,328,41,287,268,158,268,115,1489,191,75,26,503,263,503,351,0.216688970468561,0.465498625635523,3
"Charlotte Flatwoods Environmental Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.9577684757695,26.8025207802274,230,118,52,4002,332,107,225,276,186,277,175,1283,216,38,64,621,139,588,155,-1.19291172952379,NA,0
"Green Swamp Wildlife Management Area (West Unit)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.0903802499247,28.381884915567,220,123,50,4549,331,87,244,273,195,273,158,1325,201,52,49,578,179,578,221,-0.785921251205702,NA,0
"Highlands Hammock State Park",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.5373761127922,27.4721633864453,223,130,53,4239,335,90,245,272,176,273,165,1223,205,42,57,564,149,518,169,-0.141509041992647,NA,0
"Potts Preserve Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.3287801909924,28.9225519134597,211,133,50,4946,331,68,263,270,183,270,145,1348,200,53,46,572,187,572,239,0.456757348549898,0.675838256204766,3
"Ocala National Forest (Lake Delancy)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7860888722412,29.426951330129,207,123,46,5102,328,66,262,268,150,268,139,1312,178,57,40,519,204,519,237,0.794207891195303,0.891183421746221,0
"Ocala National Forest (Lake Eaton)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8637767755829,29.2448380161998,209,127,48,5013,329,67,262,269,180,269,141,1302,181,56,40,520,200,520,234,0.745064343413393,0.86317109741545,0
"Ocala National Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-81.673119966769,29.1072435088683,210,123,47,4960,328,71,257,269,155,269,143,1284,178,56,41,514,196,514,228,-0.124154784522772,NA,0
"Myakka State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.2847106880474,26.9664176962239,228,114,51,4075,329,106,223,275,183,275,172,1266,212,38,60,589,157,585,174,-1.08737854691841,NA,0
"Manatee Springs State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.964695825373,29.3968324106048,205,135,49,5281,329,55,274,267,175,267,133,1037,159,38,44,427,159,427,226,0.255501831632405,0.505471890051668,1
"Okaloacoochee Slough State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.3280482357648,26.5662356638463,228,125,54,3852,332,103,229,272,186,273,175,1306,239,39,62,624,138,552,143,-0.910567764339325,NA,2
"Catfish Creek State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.5764395530856,28.0323858491582,223,127,52,4307,334,90,244,273,175,273,164,1222,186,39,52,546,166,546,188,-0.685255981230505,NA,0
"Kissimmee Prairie Preserve State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.0228879051297,27.5830022564168,224,123,52,4111,331,96,235,271,178,272,167,1224,188,44,54,546,146,514,161,-1.82285557345311,NA,0
"O'Leno State Park",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.5836002885278,29.916508304893,203,137,48,5478,332,49,283,268,170,268,128,1312,197,52,41,538,191,538,275,0.257446595227819,0.507391954240328,1
"San Felasco Hammock State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.460523308599,29.7148011220069,204,133,48,5363,329,54,275,268,172,268,131,1333,202,55,41,547,190,547,277,-0.803083301492275,NA,3
"Lopez Farm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.5635018636465,28.1022924814805,223,125,51,4355,334,91,243,274,175,274,164,1213,182,38,51,538,166,538,188,-0.22370828162696,NA,0
"Urbieta Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8800584247378,28.516375052015,218,123,50,4618,330,85,245,272,193,272,155,1276,187,50,49,553,173,553,216,-1.82285557345311,NA,0
"Powell Creek Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8691410590762,26.690399261022,231,117,52,3966,331,110,221,277,188,277,177,1329,227,40,66,651,134,620,148,-1.82285557345311,NA,1
"Babcock Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.6895915796493,26.8667940551014,228,116,53,3710,328,110,218,270,187,271,177,1246,191,45,52,530,150,503,152,-1.82285557345311,NA,0
"Hickey's Creek Mitigation Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.6565230204792,26.6988048761101,229,123,53,3970,332,103,229,274,185,275,175,1318,233,40,64,640,136,588,146,-1.82285557345311,NA,1
"Hillsboro Pineland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.2000838909107,26.317052975721,230,120,54,3723,330,109,221,273,190,274,179,1333,244,38,63,635,135,571,138,-1.82285557345311,NA,0
"Pop Ash Creek Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8038796367851,26.758927284282,230,120,52,3988,332,105,227,276,186,276,175,1312,226,41,64,637,136,597,150,-1.82285557345311,NA,1
"Railhead Scrub Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7890071575411,26.3028794021489,233,115,53,3735,331,115,216,276,192,277,182,1324,225,38,67,641,130,624,140,-1.98554940792303,NA,0
"Myakka River State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.2879440773724,27.2431109847419,225,123,52,4174,331,96,235,273,178,273,168,1394,242,40,63,674,169,660,192,-1.82285557345311,NA,0
"Koreshan State Historic Site",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8180517040298,26.43478469377,232,115,52,3785,330,113,217,275,191,276,181,1335,228,38,67,651,130,629,141,-2.14824324239295,NA,1
"John Pennekamp Coral Reef State Park",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.406344210516,25.1240059698418,244,79,48,2985,320,157,163,272,203,280,203,1251,220,40,56,475,141,429,141,-2.71171305570979,NA,0
"Dinner Island Ranch Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-81.1914187040863,26.4878120385261,228,124,54,3774,331,104,227,272,188,273,177,1312,240,38,61,621,139,548,142,-1.69689931631344,NA,2
"Hungryland Wildlife and Environmental Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.3108642633648,26.9697487916487,231,108,51,3562,326,118,208,273,182,273,182,1387,192,57,44,519,186,519,186,-1.93875670015059,NA,0
"River Ridge Plantation",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-84.2971028498333,30.613383519301,195,132,45,6016,331,39,292,268,157,268,114,1446,180,69,25,478,258,478,354,0.134912065204722,0.367303777825279,3
"Yucca Pens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.9706676159098,26.7688069212545,230,117,52,3978,332,108,224,276,186,276,176,1292,217,38,64,625,139,595,155,-2.00858554756471,NA,1
"Deep Creek Property",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8830885716315,26.8372995332794,229,120,52,3989,332,105,227,275,185,276,175,1287,219,39,63,621,140,582,155,-2.14824324239295,NA,0
"Delnor-Wiggins Pass State Park",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.82,26.2799500233932,233,114,53,3720,330,116,214,276,193,277,182,1317,222,38,67,635,130,623,140,-2.97792110184077,NA,0
"Peleaz and Sons Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.9505461655554,27.2825285537548,225,120,52,3989,330,101,229,271,182,272,171,1180,185,42,54,528,140,495,150,-1.61015525350142,NA,0
"Corkscrew Swamp Sanctuary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.5966954686814,26.3894957678041,231,119,53,3808,331,109,222,275,190,276,179,1331,237,37,66,648,130,606,138,-1.82285557345311,NA,0
"Immokalee Groves",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.476034008373,26.5065673620252,229,123,54,3842,332,105,227,273,187,274,177,1323,240,38,64,641,134,581,141,-1.20883344308649,NA,0
"Joe's Creek Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.746254917895,27.8293476151423,224,96,44,4564,324,106,218,277,174,277,162,1241,212,40,54,570,178,536,202,-2.59150079747666,NA,0
"T. Mabry Carlton Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.2917332754078,27.1475025990895,225,120,52,4095,330,100,230,272,180,273,169,1336,229,40,61,633,165,625,185,-1.09353552300018,NA,0
"Wekiwa Springs State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-81.4740798592088,28.7301792231283,217,116,47,4688,329,85,244,272,164,272,153,1257,185,51,46,523,170,523,205,-0.514351452125488,NA,0
"Paynes Prairie Preserve State Park",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-82.2883752849117,29.5330762891841,205,129,48,5233,328,60,268,267,175,267,134,1338,195,57,41,544,192,544,269,0.152979097820005,0.391125424665803,3
"Charlotte Harbor Preserve State Park",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.0811455117158,26.6796984447982,231,114,52,3913,331,112,219,276,188,277,178,1292,213,38,64,621,140,604,155,-2.79326844684223,NA,0
"Spirit of the Wild Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.407897717556,26.622538919591,227,126,54,3842,332,101,231,271,185,272,175,1302,237,39,62,625,137,555,143,-0.989765811987043,NA,2
"Bayard Conservation Area",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-81.6371983964736,29.9570567843634,206,115,43,5345,328,66,262,268,146,270,134,1282,180,56,40,510,201,497,233,0.0280209875906028,0.16739470598141,2
"Homosassa Springs State Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.5776226460655,28.7996340825585,213,129,50,4896,330,72,258,271,186,271,147,1356,213,54,48,581,187,581,241,-2.14824324239295,NA,3
"Weeki Wachee State Park ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.5758968318805,28.5154288508671,216,121,49,4710,327,82,245,271,191,271,152,1365,220,56,50,588,185,588,237,-1.98554940792303,NA,0
"Cabrera Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.1424095788685,27.6454030257922,222,121,51,4357,329,93,236,273,174,273,163,1283,207,41,58,604,161,573,191,-0.803083301492275,NA,3
"Blackwater River State Forest",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-86.8444019931672,30.7185026791554,191,117,41,6321,324,40,284,268,151,268,108,1562,180,90,21,500,300,500,371,0.600910845981646,0.775184394825931,7
"Pine Log State Forest",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-85.8815594447069,30.4181294536925,195,120,42,6125,324,44,280,269,157,269,114,1565,203,90,27,543,296,543,360,0.568939219098449,0.754280597058183,1
"Cendejas Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.9193373771578,27.1959984933898,223,123,53,4123,328,96,232,270,178,271,167,1311,208,47,58,606,154,576,172,-0.803083301492275,NA,3
"Natural Well Branch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.7234665500478,30.2285717447639,198,134,46,5809,331,44,287,269,163,269,120,1439,195,63,32,530,238,530,329,-1.98554940792303,NA,1
"Steinhatchee Falls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-83.3481616205992,29.750195916289,200,133,47,5620,328,47,281,268,168,268,124,1385,210,57,43,572,209,572,292,-1.25146994845917,NA,1
"Steinhatchee Rise",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.3354354458643,29.7282710785153,201,132,46,5619,328,47,281,267,168,267,124,1378,209,57,44,571,208,571,290,-1.1650658107212,NA,1
"Murphy Creek Conservation Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.6495802620392,29.5731844023304,207,119,45,5160,328,68,260,267,149,269,138,1311,178,59,40,519,203,509,232,-0.764396029686567,NA,2
"Lake George State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.4734590550673,29.1580621530953,212,120,47,4920,329,74,255,270,156,270,145,1322,181,59,42,529,196,529,225,-0.612974371076238,NA,0
"Buckingham Trails Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.7365030970024,26.6417657953748,230,120,53,3924,331,107,224,275,187,276,177,1334,233,39,65,652,134,611,145,-0.852452839697727,NA,1
"Fisheating Creek Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.3230216164552,26.9410060602444,225,128,53,4001,335,96,239,271,182,272,171,1240,215,41,59,582,139,524,149,-1.93875670015059,NA,1
"Galt Preserve",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.0974642940188,26.507255722948,233,111,51,3859,330,116,214,277,191,278,180,1301,214,39,65,623,138,617,151,-2.84734986759775,NA,1
"Benson-Pulling Property",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7626380244432,26.3834846438403,233,116,53,3765,331,114,217,276,192,277,182,1334,230,38,67,649,130,624,141,-1.93875670015059,NA,1
"Green Swamp East Wildlife Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.0381333887449,28.354574812702,220,123,50,4525,330,88,242,272,195,272,158,1315,200,50,50,577,178,577,218,-2.05465782684807,NA,0
"Caloosahatchee Regional Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.6598260924711,26.7272239577673,228,123,53,3955,332,103,229,274,185,275,175,1313,232,40,64,637,136,585,147,-1.22027480994421,NA,1
"Triple J Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.3644921085398,27.3499303031169,223,120,51,4265,329,95,234,272,176,273,165,1373,239,37,63,662,170,655,194,-1.93875670015059,NA,0
"Cypress Creek Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.4225794172735,28.262407900357,220,116,48,4582,328,90,238,274,196,274,158,1361,216,55,51,595,184,595,219,-0.765979399632995,NA,0
"Miami Metro Zoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.3970961591086,25.6022497079945,237,90,50,3134,319,141,178,273,195,275,195,1487,249,40,58,589,147,557,147,-1.93875670015059,NA,0
"Westen Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8502469318555,26.7665327013066,230,119,53,3972,331,107,224,275,186,276,175,1311,224,40,64,637,138,600,152,-1.93875670015059,NA,1
"Fort Drum Marsh Conservation Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-80.7604334893874,27.6165059827628,224,116,51,3979,328,102,226,270,181,271,170,1249,176,45,48,520,155,510,165,-1.56479108395623,NA,0
"Three Forks Marsh Conservation Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-80.7504145528501,28.0618933770803,223,101,46,4132,322,106,216,272,179,272,167,1250,172,42,39,468,169,468,170,-1.26456984084559,NA,0
"River Lakes Conservation Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8127875059868,28.2455153027901,221,99,46,4225,319,104,215,271,175,271,164,1253,171,46,41,488,174,488,179,-1.14288393141553,NA,0
"Chito Branch Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.1670268691522,27.8221217827892,223,118,50,4395,329,95,234,273,199,274,163,1259,204,39,56,581,165,560,197,-1.2559888157023,NA,4
